id,n_images,image_sizes,n_image_tokens,n_prompt_tokens
validation_Clinical_Medicine_15,1,768x1344,1008,1074
validation_Clinical_Medicine_16,1,832x1248,1014,1150
validation_Clinical_Medicine_17,1,1248x832,1014,1178
validation_Clinical_Medicine_18,1,2336x448,1022,1113
validation_Clinical_Medicine_19,1,1248x832,1014,1146
validation_Clinical_Medicine_20,1,2496x416,1014,1104
validation_Clinical_Medicine_21,1,1120x928,1015,1101
validation_Clinical_Medicine_22,1,1248x832,1014,1141
validation_Clinical_Medicine_23,1,960x1088,1020,1085
validation_Clinical_Medicine_24,1,832x1248,1014,1089
validation_Clinical_Medicine_25,1,1248x832,1014,1191
validation_Clinical_Medicine_26,1,1120x928,1015,1076
validation_Clinical_Medicine_27,1,1248x832,1014,1151
validation_Clinical_Medicine_28,1,1248x832,1014,1152
validation_Clinical_Medicine_29,1,1184x896,1036,1110
validation_Clinical_Medicine_30,1,1248x832,1014,1133
validation_Computer_Science_1,1,832x1216,988,1060
validation_Computer_Science_2,1,1120x928,1015,1113
validation_Computer_Science_3,1,1888x800,1475,1575
validation_Computer_Science_4,1,1440x704,990,1040
validation_Computer_Science_5,1,2656x384,996,1065
validation_Computer_Science_6,1,1312x800,1025,1110
validation_Computer_Science_7,1,768x1344,1008,1208
validation_Computer_Science_8,1,1472x704,1012,1076
validation_Computer_Science_9,1,1056x992,1023,1173
validation_Computer_Science_10,1,1120x928,1015,1089
validation_Computer_Science_11,4,1248x832 1344x768 1184x896 1280x800,4058,4136
validation_Computer_Science_12,1,1568x672,1029,1190
validation_Computer_Science_13,1,1248x832,1014,1168
validation_Computer_Science_14,1,1216x864,1026,1114
validation_Computer_Science_15,1,1184x928,1073,1144
validation_Computer_Science_16,1,800x1312,1025,1183
validation_Computer_Science_17,1,1024x992,992,1043
validation_Computer_Science_18,1,1248x832,1014,1145
validation_Computer_Science_19,1,1504x704,1034,1168
validation_Computer_Science_20,1,1536x1120,1680,1741
validation_Computer_Science_21,1,1216x864,1026,1096
validation_Computer_Science_22,1,1152x896,1008,1080
validation_Computer_Science_23,1,1792x576,1008,1194
validation_Computer_Science_24,1,1504x1536,2256,2337
validation_Computer_Science_25,1,1184x864,999,1073
validation_Computer_Science_26,1,1056x960,990,1213
validation_Computer_Science_27,1,1152x896,1008,1188
validation_Computer_Science_28,2,768x1376 2272x448,2026,2197
validation_Computer_Science_29,1,1248x832,1014,1114
validation_Computer_Science_30,1,1120x928,1015,1122
validation_Design_1,1,864x1184,999,1071
validation_Design_2,1,1120x928,1015,1130
validation_Design_3,1,896x1152,1008,1077
validation_Design_4,1,1120x1152,1260,1361
validation_Design_5,1,864x1216,1026,1092
validation_Design_6,1,1184x896,1036,1108
validation_Design_7,1,768x1376,1032,1099
validation_Design_8,1,1280x960,1200,1265
validation_Design_9,1,1184x928,1073,1135
validation_Design_10,1,896x1184,1036,1092
validation_Design_11,1,928x1120,1015,1099
validation_Design_12,1,1120x896,980,1038
validation_Design_13,1,1344x768,1008,1098
validation_Design_14,1,864x1184,999,1078
validation_Design_15,1,1280x960,1200,1259
validation_Design_16,1,1056x992,1023,1088
validation_Design_17,1,1024x1024,1024,1101
validation_Design_18,1,1184x896,1036,1117
validation_Design_19,1,928x1120,1015,1073
validation_Design_20,1,1408x736,1012,1107
validation_Design_21,1,832x1248,1014,1098
validation_Design_22,1,1248x832,1014,1085
validation_Design_23,1,1248x832,1014,1082
validation_Design_24,1,1216x864,1026,1118
validation_Design_25,1,832x1248,1014,1074
validation_Design_26,1,1024x992,992,1071
validation_Design_27,1,1248x832,1014,1074
validation_Design_28,1,1088x960,1020,1078
validation_Design_29,1,1120x928,1015,1099
validation_Design_30,1,832x1248,1014,1075
validation_Diagnostics_and_Laboratory_Medicine_1,1,1856x1600,2900,3015
validation_Diagnostics_and_Laboratory_Medicine_2,1,1600x640,1000,1079
